Position,Track Name,Artist,Streams,URL,Date,Region
182,Romance,Nacho,16765,https://open.spotify.com/track/2ljGNdaz00VLUfqVfJjCAb,08/12/2017,ar
183,Deja De Llorar,El Polaco,16683,https://open.spotify.com/track/3tddzXTgneWrkV2cYNUBZe,08/12/2017,ar
184,Te Robo Remix,Gigolo Y La Exce,16672,https://open.spotify.com/track/2qHiGVZkLDpQr5MsBWspSD,08/12/2017,ar
185,Photograph,Ed Sheeran,16665,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,08/12/2017,ar
186,There's Nothing Holdin' Me Back,Shawn Mendes,16631,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,08/12/2017,ar
187,Mil Horas,Los Abuelos De La Nada,16629,https://open.spotify.com/track/7uKe068f3goRFEhH6MCbun,08/12/2017,ar
188,Persiana Americana,Soda Stereo,16477,https://open.spotify.com/track/7JZP7kQsuFFWOrtAI7uNiW,08/12/2017,ar
189,Desde Esa Noche,ThalÃ­a,16365,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,08/12/2017,ar
190,Scared to Be Lonely,Martin Garrix,16227,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,08/12/2017,ar
191,La Ãšltima Vez,Anuel Aa,16177,https://open.spotify.com/track/4J1e3hbf0e5YUZjkxyJWD3,08/12/2017,ar
192,A las Nueve,No Te Va Gustar,16118,https://open.spotify.com/track/0uuEqOyKlABOB7hzWKcEeG,08/12/2017,ar
193,Personalmente,Las Pelotas,16038,https://open.spotify.com/track/7q7XFO9av9VpNJSXKJwJxD,08/12/2017,ar
194,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,16016,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,08/12/2017,ar
195,Gabriela,Ulises Bueno,15992,https://open.spotify.com/track/0yDywtFV5WIZBFGuC082Mo,08/12/2017,ar
196,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,15878,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez,08/12/2017,ar
197,No Vendo Trap,Duki,15797,https://open.spotify.com/track/4Sg1SDOCbsWBcqA0ZEBDxf,08/12/2017,ar
198,Noche Loca,Marama,15783,https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD,08/12/2017,ar
199,Look What You Made Me Do,Taylor Swift,15748,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il,08/12/2017,ar
200,ReggaetÃ³n Lento (Remix),CNCO,15672,https://open.spotify.com/track/5PB8zB1MOZASboLquvinMF,08/12/2017,ar
